First Name,DominantHand,Gender
Aaron,Right Handed,Female
Abigail,Right Handed,Male
Addison,Left Handed,Female
Aiden,Right Handed,Male
Alexander,Right Handed,Male
Amelia,Right Handed,Male
Andrew,Right Handed,Female
Anna,Right Handed,Female
Anthony,Right Handed,Female
Aria,Right Handed,Male
Aubrey,Right Handed,Female
Aurora,Right Handed,Female
Ava,Right Handed,Male
Avery,Right Handed,Male
Bella,Right Handed,Female
Benjamin,Right Handed,Male
Brooklyn,Right Handed,Female
Caden,Right Handed,Male
Caleb,Right Handed,Female
Camila,Right Handed,Male
Carter,Left Handed,Male
Charles,Right Handed,Female
Chloe,Right Handed,Male
Christopher,Right Handed,Female
Daniel,Right Handed,Male
David,Left Handed,Male
Dylan,Right Handed,Female
Elijah,Right Handed,Male
Ella,Right Handed,Male
Ellie,Left Handed,Male
Ellie,Right Handed,Female
Emily,Right Handed,Male
Emily,Right Handed,Male
Emma,Right Handed,Male
Ethan,Right Handed,Male
Ethan,Left Handed,Male
Eva,Right Handed,Female
Evan,Right Handed,Female
Evelyn,Right Handed,Male
Gabriel,Right Handed,Female
Grace,Right Handed,Male
Grayson,Right Handed,Male
Hannah,Left Handed,Male
Harper,Right Handed,Male
Harper,Right Handed,Male
Hazel,Right Handed,Female
Henry,Right Handed,Male
Isaac,Right Handed,Female
Isaac,Right Handed,Female
Isabella,Right Handed,Male
Jack,Right Handed,Female
Jackson,Right Handed,Male
Jackson,Left Handed,Male
James,Right Handed,Male
Jaxon,Right Handed,Female
Jayden,Left Handed,Female
John,Right Handed,Female
Joshua,Right Handed,Female
Layla,Left Handed,Male
Leah,Right Handed,Female
Leo,Right Handed,Female
Liam,Right Handed,Male
Lillian,Left Handed,Female
Lily,Left Handed,Male
Logan,Right Handed,Male
Lucas,Right Handed,Male
Luke,Right Handed,Female
Luna,Right Handed,Male
Mason,Right Handed,Male
Matthew,Right Handed,Male
Matthew,Right Handed,Female
Melanie,Right Handed,Female
Mia,Right Handed,Male
Michael,Right Handed,Male
Naomi,Right Handed,Female
Natalie,Right Handed,Female
Nathan,Right Handed,Female
Noah,Right Handed,Male
Nora,Right Handed,Female
Oliver,Right Handed,Male
Olivia,Right Handed,Male
Owen,Right Handed,Female
Paisley,Right Handed,Female
Penelope,Right Handed,Female
Ryan,Right Handed,Female
Sadie,Right Handed,Female
Samuel,Right Handed,Female
Savannah,Right Handed,Female
Scarlett,Right Handed,Male
Sebastian,Left Handed,Male
Skylar,Right Handed,Female
Sofia,Right Handed,Male
Sophia,Right Handed,Male
Stella,Right Handed,Female
Victoria,Right Handed,Female
William,Right Handed,Male
Willow,Right Handed,Female
Wyatt,Left Handed,Female
Zoe,Right Handed,Female
Zoey,Right Handed,Male
